kit_name,kit_type
Carnaval Streetwear Kit,CAS
Fashion Street-Set,CAS
First Fits Kit,CAS
Grunge Revival Kit,CAS
Incheon Arrivals Kit,CAS
Modern Menswear Kit,CAS
Moonlight Chic Kit,CAS
Poolside Splash Kit,CAS
Simtimates Collection Kit,CAS
Throwback Fit Kit,CAS
Basement Treasures Kit,build
Bathroom Clutter Kit,build
Blooming Rooms Kit,build
Book Nook Kit,build
Country Kitchen Kit,build
Decor to the Max Kit,build
Desert Luxe Kit,build
Everyday Clutter Kit,build
Greenhouse Haven Kit,build
Industrial Loft Kit,build
Little Campers Kit,build
Modern Luxe Kit,build
Pastel Pop Kit,build
Bust The Dust Kit,gameplay
Artist Studio Kit,build
Castle Estate Kit,build
Cozy Bistro Kit,build
Goth Galore Kit,CAS
Party Essentials Kit,build
Riviera Retreat Kit,build
Storybook Nursery Kit,build
Urban Homage Kit,CAS
Courtyard Oasis Kit,build
