,pack_type,release date,pack_id,pack name,total,promo,not promo
0,Expansion Packs,2015-03-31,EP01,Get To Work,12478,284,12194
1,Expansion Packs,2015-12-08,EP02,Get Together,12332,148,12184
2,Expansion Packs,2016-11-01,EP03,City Living,13522,160,13362
3,Expansion Packs,2017-11-10,EP04,Cats & Dogs,13833,182,13651
4,Expansion Packs,2018-06-22,EP05,Seasons,14295,172,14123
5,Expansion Packs,2018-11-16,EP06,Get Famous,11424,147,11277
6,Expansion Packs,2019-06-21,EP07,Island Living,11881,155,11726
7,Expansion Packs,2019-11-15,EP08,Discover University,12442,137,12305
8,Expansion Packs,2020-06-05,EP09,Eco Lifestyle,11859,156,11703
9,Expansion Packs,2020-11-13,EP10,Snowy Escape,11174,142,11032
10,Expansion Packs,2021-07-22,EP11,Cottage Living,13253,138,13115
11,Expansion Packs,2022-07-28,EP12,High School Years,10637,148,10489
12,Expansion Packs,2023-03-16,EP13,Growing Together,11641,149,11492
13,Expansion Packs,2023-07-20,EP14,Horse Ranch,9338,121,9217
14,Expansion Packs,2023-12-07,EP15,For Rent,8302,126,8176
15,Expansion Packs,2024-07-25,EP16,Lovestruck,6311,117,6194
17,Game Packs,2015-01-13,GP01,Outdoor Retreat,9740,227,9513
18,Game Packs,2015-07-06,GP02,Spa Day,10601,209,10392
19,Game Packs,2016-06-07,GP03,Dine Out,10286,139,10147
20,Game Packs,2017-01-24,GP04,Vampires,10827,131,10696
21,Game Packs,2017-05-30,GP05,Parenthood,12817,163,12654
22,Game Packs,2018-02-27,GP06,Jungle Adventure,10925,1436,9489
23,Game Packs,2019-02-26,GP07,StrangerVille,8916,147,8769
24,Game Packs,2019-09-10,GP08,Realm of Magic,10579,147,10432
25,Game Packs,2020-09-08,GP09,Star Wars: Journey to Batuu,4727,170,4557
26,Game Packs,2021-06-01,GP10,Dream Home Decorator,12087,160,11927
27,Game Packs,2022-02-23,GP11,My Wedding Stories,7267,126,7141
28,Game Packs,2022-06-16,GP12,Werewolves,9253,146,9107
29,Stuff Packs,2015-05-19,SP01,Luxury Party Stuff,8178,1823,6355
30,Stuff Packs,2015-06-16,SP02,Perfect Patio Stuff,7905,355,7550
31,Stuff Packs,2015-08-11,SP03,Cool Kitchen Stuff,7859,163,7696
32,Stuff Packs,2015-09-29,SP04,Spooky Stuff,7328,389,6939
33,Stuff Packs,2016-01-12,SP05,Movie Hangout Stuff,8813,171,8642
34,Stuff Packs,2016-02-09,SP06,Romantic Garden Stuff,12836,4677,8159
35,Stuff Packs,2016-06-28,SP07,Kids Room Stuff,8218,186,8032
36,Stuff Packs,2016-07-19,SP08,Backyard Stuff,11597,3287,8310
37,Stuff Packs,2016-12-06,SP09,Vintage Glamour Stuff,9236,228,9008
38,Stuff Packs,2017-03-29,SP10,Bowling Night Stuff,7798,137,7661
39,Stuff Packs,2017-06-20,SP11,Fitness Stuff,7396,158,7238
40,Stuff Packs,2017-08-24,SP12,Toddler Stuff,8452,172,8280
41,Stuff Packs,2018-01-16,SP13,Laundry Day Stuff,12080,172,11908
42,Stuff Packs,2018-03-13,SP14,My First Pet Stuff,11922,5126,6796
43,Stuff Packs,2019-08-13,SP15,Moshino Stuff Pack,8818,186,8632
44,Stuff Packs,2020-01-21,SP16,Tiny Living,13077,158,12919
45,Stuff Packs,2020-07-28,SP17,Nifty Knitting,10167,134,10033
46,Stuff Packs,2021-01-26,SP18,Paranormal,9981,138,9843
47,Stuff Packs,2023-09-28,SP46,Home Chef Hustle Stuff,8794,115,8679
48,Stuff Packs,2024-02-29,SP49,Crystal Creations Stuff Pack,7798,103,7695
49,Kits,2021-03-02,SP20,Throwback Fit Kit,3823,108,3715
50,Kits,2021-03-02,SP21,Country Kitchen Kit,5757,114,5643
51,Kits,2021-03-02,SP22,Bust The Dust Kit,4946,107,4839
52,Kits,2021-05-18,SP23,Courtyard Oasis Kit,5262,507,4755
53,Kits,2021-10-05,SP24,Fashion Street-Set,4570,1250,3320
54,Kits,2021-08-26,SP25,Industrial Loft Kit,5675,148,5527
55,Kits,2021-10-05,SP26,Incheon Arrivals Kit,4687,128,4559
56,Kits,2021-12-02,SP28,Modern Menswear Kit,2915,93,2822
57,Kits,2021-11-09,SP29,Blooming Rooms Kit,11481,3667,7814
58,Kits,2022-02-03,SP30,Carnaval Streetwear Kit,3511,147,3364
59,Kits,2022-03-21,SP31,Decor to the Max Kit,5474,108,5366
60,Kits,2022-05-26,SP32,Moonlight Chic Kit,3994,98,3896
61,Kits,2022-05-26,SP33,Little Campers Kit,5883,122,5761
62,Kits,2022-09-01,SP34,First Fits Kit,3884,95,3789
63,Kits,2022-09-14,SP35,Desert Luxe Kit,10810,6866,3944
64,Kits,2022-11-10,SP36,Pastel Pop Kit,6651,121,6530
65,Kits,2022-11-10,SP37,Everyday Clutter Kit,6663,109,6554
66,Kits,2023-01-19,SP38,Simtimates Collection Kit,3955,117,3838
67,Kits,2023-01-19,SP39,Bathroom Clutter Kit,5676,103,5573
68,Kits,2023-04-20,SP40,Greenhouse Haven Kit,6754,173,6581
69,Kits,2023-04-20,SP41,Basement Treasures Kit,5200,91,5109
70,Kits,2023-06-01,SP42,Grunge Revival Kit,4389,83,4306
71,Kits,2023-06-01,SP43,Book Nook Kit,7679,128,7551
72,Kits,2023-09-07,SP44,Poolside Splash Kit,3683,87,3596
73,Kits,2023-09-07,SP45,Modern Luxe Kit,6083,129,5954
74,Kits,2024-01-18,SP47,Castle Estate Kit,4237,92,4145
75,Kits,2024-01-18,SP48,Goth Galore Kit,3846,101,3745
76,Kits,2024-04-18,SP50,Urban Homage Kit,3265,76,3189
77,Kits,2024-04-18,SP51,Party Essentials Kit,3399,91,3308
78,Kits,2024-05-30,SP52,Riviera Retreat Kit,4171,112,4059
79,Kits,2024-05-30,SP53,Cozy Bistro Kit,4140,88,4052
80,Kits,2024-09-19,SP54,Artist Studio Kit,4231,80,4151
81,Kits,2024-09-19,SP55,Storybook Nursery Kit,4652,95,4557
