pack name,will buy,might buy,on sale,free,never
Star Wars: Journey to Batuu,0.0,1.0,1.0,38.0,42.0
Bust The Dust Kit,0.0,1.0,1.0,14.0,40.0
Modern Menswear Kit,0.0,3.0,1.0,16.0,10.0
Lovestruck,2.0,1.0,13.0,2.0,0.0
Artist Studio Kit,6.0,3.0,1.0,1.0,0.0
Urban Homage Kit,2.0,1.0,4.0,2.0,0.0
Goth Galore Kit,0.0,2.0,2.0,1.0,1.0
Party Essentials Kit,0.0,0.0,1.0,5.0,0.0
Castle Estate Kit,0.0,1.0,0.0,3.0,0.0
My First Pet Stuff,0.0,0.0,0.0,1.0,3.0
Decor to the Max Kit,0.0,1.0,0.0,1.0,1.0
Storybook Nursery Kit,0.0,1.0,0.0,2.0,0.0
Eco Lifestyle,2.0,0.0,0.0,0.0,0.0
Carnaval Streetwear Kit,0.0,0.0,0.0,1.0,1.0
Simtimates Collection Kit,0.0,1.0,0.0,0.0,1.0
Cozy Bistro Kit,1.0,1.0,0.0,0.0,0.0
Paranormal,1.0,0.0,0.0,0.0,0.0
Throwback Fit Kit,0.0,1.0,0.0,0.0,0.0
Riviera Retreat Kit,0.0,0.0,0.0,1.0,0.0
Parenthood,1.0,0.0,0.0,0.0,0.0
Courtyard Oasis Kit,0.0,0.0,1.0,0.0,0.0
My Wedding Stories,0.0,0.0,1.0,0.0,0.0
Luxury Party Stuff,0.0,0.0,0.0,0.0,1.0
Cool Kitchen Stuff,0.0,0.0,0.0,0.0,1.0
Country Kitchen Kit,0.0,0.0,0.0,0.0,1.0
For Rent,0.0,1.0,0.0,0.0,0.0
First Fits Kit,0.0,1.0,0.0,0.0,0.0
Crystal Creations Stuff Pack,1.0,0.0,0.0,0.0,0.0
Home Chef Hustle Stuff,0.0,0.0,1.0,0.0,0.0
