pack name,pack_type,release date,will buy,might buy,on sale,free,never
Seasons,Expansion Packs,2018-06-22,160,180,272,175,74
Cats & Dogs,Expansion Packs,2017-11-10,142,225,476,332,148
City Living,Expansion Packs,2016-11-01,158,254,729,407,86
Cottage Living,Expansion Packs,2021-07-22,379,502,704,237,81
Tiny Living,Stuff Packs,2020-01-21,342,492,821,359,65
Romantic Garden Stuff,Stuff Packs,2016-02-09,83,174,450,1220,393
Parenthood,Game Packs,2017-05-30,204,393,780,683,279
Get To Work,Expansion Packs,2015-03-31,118,195,1017,1184,164
Discover University,Expansion Packs,2019-11-15,201,392,1122,755,244
Get Together,Expansion Packs,2015-12-08,162,349,1225,892,196
Dream Home Decorator,Game Packs,2021-06-01,273,591,1124,792,289
Laundry Day Stuff,Stuff Packs,2018-01-16,210,445,880,1092,449
My First Pet Stuff,Stuff Packs,2018-03-13,55,83,198,1362,1536
Island Living,Expansion Packs,2019-06-21,178,343,1361,1135,258
Eco Lifestyle,Expansion Packs,2020-06-05,207,472,1342,892,384
Growing Together,Expansion Packs,2023-03-16,367,640,1382,820,306
Backyard Stuff,Stuff Packs,2016-07-19,174,219,740,1947,479
Blooming Rooms Kit,Kits,2021-11-09,399,721,951,1306,298
Get Famous,Expansion Packs,2018-11-16,111,253,1199,1569,600
Snowy Escape,Expansion Packs,2020-11-13,210,486,1499,1336,451
Jungle Adventure,Game Packs,2018-02-27,149,391,1197,1656,838
Vampires,Game Packs,2017-01-24,233,484,1200,1219,1193
Desert Luxe Kit,Kits,2022-09-14,293,548,921,2008,576
High School Years,Expansion Packs,2022-07-28,204,437,1688,1511,679
Spa Day,Game Packs,2015-07-06,148,369,1370,2121,547
Realm of Magic,Game Packs,2019-09-10,257,553,1439,1313,1015
Dine Out,Game Packs,2016-06-07,98,304,1084,2456,928
Nifty Knitting,Stuff Packs,2020-07-28,295,832,1772,1668,422
Paranormal,Stuff Packs,2021-01-26,337,746,1623,1479,990
Outdoor Retreat,Game Packs,2015-01-13,112,319,1178,2968,839
Horse Ranch,Expansion Packs,2023-07-20,413,678,2405,1540,782
Werewolves,Game Packs,2022-06-16,369,803,1985,1454,1292
Vintage Glamour Stuff,Stuff Packs,2016-12-06,148,404,1338,3091,939
StrangerVille,Game Packs,2019-02-26,180,437,1549,2399,1675
Moshino Stuff Pack,Stuff Packs,2019-08-13,130,418,1456,3099,1235
Movie Hangout Stuff,Stuff Packs,2016-01-12,131,441,1691,3426,654
Home Chef Hustle Stuff,Stuff Packs,2023-09-28,664,1322,2471,1566,339
Toddler Stuff,Stuff Packs,2017-08-24,208,567,1702,3387,840
For Rent,Expansion Packs,2023-12-07,477,891,3008,1722,756
Kids Room Stuff,Stuff Packs,2016-06-28,193,560,1840,3537,808
Luxury Party Stuff,Stuff Packs,2015-05-19,58,182,631,4242,1865
Perfect Patio Stuff,Stuff Packs,2015-06-16,108,296,1149,4702,996
Cool Kitchen Stuff,Stuff Packs,2015-08-11,165,535,1716,4148,733
Bowling Night Stuff,Stuff Packs,2017-03-29,103,388,1689,3931,1247
Crystal Creations Stuff Pack,Stuff Packs,2024-02-29,755,1328,2686,1788,801
Book Nook Kit,Kits,2023-06-01,1103,1792,2093,2108,381
Fitness Stuff,Stuff Packs,2017-06-20,79,327,1369,4611,1374
Spooky Stuff,Stuff Packs,2015-09-29,134,375,1093,4501,1725
My Wedding Stories,Game Packs,2022-02-23,98,359,1799,3606,2027
Greenhouse Haven Kit,Kits,2023-04-20,850,1871,2416,2801,464
Everyday Clutter Kit,Kits,2022-11-10,702,1597,2311,3235,648
Pastel Pop Kit,Kits,2022-11-10,564,1428,2264,3303,946
Lovestruck,Expansion Packs,2024-07-25,592,1030,3868,2085,1270
Modern Luxe Kit,Kits,2023-09-07,565,1568,2449,3714,777
Little Campers Kit,Kits,2022-05-26,495,1379,2292,4080,1027
Country Kitchen Kit,Kits,2021-03-02,292,1013,2086,4837,1171
Bathroom Clutter Kit,Kits,2023-01-19,714,1661,2431,3876,798
Industrial Loft Kit,Kits,2021-08-26,340,1190,2415,4583,953
Decor to the Max Kit,Kits,2022-03-21,364,1190,2226,4526,1376
Courtyard Oasis Kit,Kits,2021-05-18,197,868,2049,5289,1491
Basement Treasures Kit,Kits,2023-04-20,521,1589,2650,4194,1002
Bust The Dust Kit,Kits,2021-03-02,166,519,1142,4589,3794
Star Wars: Journey to Batuu,Game Packs,2020-09-08,79,155,559,3935,5701
Incheon Arrivals Kit,Kits,2021-10-05,267,956,1776,5357,2113
Storybook Nursery Kit,Kits,2024-09-19,1030,1905,2435,3922,1212
Fashion Street-Set,Kits,2021-10-05,139,620,1342,5583,2902
Grunge Revival Kit,Kits,2023-06-01,461,1368,2170,4955,1813
Castle Estate Kit,Kits,2024-01-18,457,1280,2196,4775,2211
Artist Studio Kit,Kits,2024-09-19,1130,2450,2796,3769,780
Riviera Retreat Kit,Kits,2024-05-30,445,1633,2751,4852,1304
Cozy Bistro Kit,Kits,2024-05-30,589,1805,2846,4456,1320
Moonlight Chic Kit,Kits,2022-05-26,221,903,1786,5830,2422
Simtimates Collection Kit,Kits,2023-01-19,261,850,1685,5768,2637
First Fits Kit,Kits,2022-09-01,381,1221,2030,5487,2153
Goth Galore Kit,Kits,2024-01-18,524,1434,2143,5091,2118
Throwback Fit Kit,Kits,2021-03-02,121,482,1121,6181,3428
Poolside Splash Kit,Kits,2023-09-07,305,1063,1980,5895,2230
Carnaval Streetwear Kit,Kits,2022-02-03,168,583,1346,6114,3434
Party Essentials Kit,Kits,2024-04-18,180,718,1701,6359,2799
Urban Homage Kit,Kits,2024-04-18,443,1487,2186,5601,2174
Modern Menswear Kit,Kits,2021-12-02,138,637,1345,6424,3697
